geometry,class,subtype
"((-52.9320761, -22.6262671), (-52.9320219, -22.6266373))",unclassified,road
"((-56.1533201, -21.4867741), (-56.1519681, -21.4862268))",tertiary,road
"((-55.084835, -20.1567163), (-55.0849879, -20.1561724))",unclassified,road
"((-67.1105605, -17.9739972), (-67.1105637, -17.9740096))",primary,road
"((-77.1460126, -11.7837931), (-77.1460839, -11.7836259))",service,road
"((-75.2319456, -12.0532029), (-75.2324344, -12.053195))",primary,road
"((-72.3159693, -14.0676652), (-72.3156072, -14.0676665))",service,road
"((-79.8462537, -6.7446381), (-79.8467097, -6.7441719))",tertiary,road
"((-47.4799996, -23.5047003), (-47.4800136, -23.504718))",service,road
"((-47.081039, -22.9467732), (-47.0811642, -22.9466893))",tertiary,road
"((-78.6049542, -7.0956519), (-78.604871, -7.0958568))",unclassified,road
"((-49.0462665, -26.899983), (-49.0462974, -26.9001289))",secondary,road
"((-56.8445961, -14.4502959), (-56.8443364, -14.4502186))",primary,road
"((-76.8570444, -12.0078769), (-76.8565519, -12.0077589))",service,road
"((-46.5359429, -22.9843158), (-46.5358168, -22.9843176))",service,road
"((-75.712816, -14.0675005), (-75.7128094, -14.0675663))",tertiary,road
"((-49.3208031, -25.3887807), (-49.3209609, -25.388478))",tertiary,road
"((-52.5935244, -23.2880486), (-52.593581, -23.2880529))",secondary,road
"((-46.2784293, -22.7191321), (-46.2784937, -22.7190047))",unclassified,road
"((-80.4849795, -1.3873724), (-80.4850498, -1.3867851))",unclassified,road
"((-46.7789822, -23.6518301), (-46.7790705, -23.6517538))",secondary,road
"((-78.5528013, -0.2972786), (-78.5528255, -0.2973712))",service,road
"((-74.6460244, -12.4555538), (-74.6458313, -12.4556101))",unclassified,road
"((-66.1477288, -17.386363), (-66.1475663, -17.3861313))",secondary,road
"((-78.5026364, -7.1910821), (-78.5027463, -7.1907288))",unclassified,road
"((-46.8521575, -23.3462703), (-46.8522008, -23.3463598))",service,road
"((-47.1276931, -23.3096164), (-47.1272989, -23.3095646))",service,road
